method,path,name,kind,actor,auth_dependencies,response_model,module,consumer_match,consumer_match_fragment,consumers,destination,target,vertical,note
GET,/api/v1/admin/resources,list_resources,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,GET /api/v1/admin/resources,V8-TASK-053,Coleccion: exige limite de servidor y paginacion (TASK-041).
POST,/api/v1/admin/resources,create_resource,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,POST /api/v1/admin/resources,V8-TASK-053,
POST,/api/v1/admin/resources/upload-file,upload_resource_file,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,POST /api/v1/admin/resource-files,V8-TASK-053,Crea un recurso de archivo con identidad propia; hoy es una accion anonima.
DELETE,/api/v1/admin/resources/{resource_id},delete_resource,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,DELETE /api/v1/admin/resources/{id},V8-TASK-053,
GET,/api/v1/admin/resources/{resource_id},get_resource_detail,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,GET /api/v1/admin/resources/{id},V8-TASK-053,
PUT,/api/v1/admin/resources/{resource_id},update_resource,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,PUT /api/v1/admin/resources/{id},V8-TASK-053,
PATCH,/api/v1/admin/resources/{resource_id}/toggle-locked,toggle_resource_locked,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,PATCH /api/v1/admin/resources/{id},V8-TASK-053,Se funde con toggle-published en un PATCH con {is_locked}.
PATCH,/api/v1/admin/resources/{resource_id}/toggle-published,toggle_resource_published,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,PATCH /api/v1/admin/resources/{id},V8-TASK-053,Se funde con toggle-locked en un PATCH con {is_published}.
GET,/api/v1/admin/stats,admin_stats,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,exact,/api/v1/admin/stats,app/static/js/admin_login.js,rest,GET /api/v1/admin/stats,V8-TASK-053,Presenter de admin; unica ruta admin con consumidor literal en el JS actual.
GET,/api/v1/admin/users,list_users,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,GET /api/v1/admin/users,V8-TASK-053,Coleccion: exige limite de servidor y paginacion (TASK-041).
DELETE,/api/v1/admin/users/{user_id},delete_user,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,DELETE /api/v1/admin/users/{id},V8-TASK-053,
GET,/api/v1/admin/users/{user_id}/resource-progress,user_resource_progress,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,GET /api/v1/admin/users/{id}/resource-progress,V8-TASK-053,Proyeccion de progreso; debe salir de la policy unica de TASK-016.
PATCH,/api/v1/admin/users/{user_id}/toggle-active,toggle_user_active,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,PATCH /api/v1/admin/users/{id},V8-TASK-053,Correspondencia explicita en 5.2 del plan 08.
PATCH,/api/v1/admin/users/{user_id}/toggle-superuser,toggle_user_superuser,api,admin,current_active_user|current_admin_user,,app.routes.adminRoute,prefix,/api/v1/admin,app/static/js/admin.js|app/static/js/admin_login.js,rest,PATCH /api/v1/admin/users/{id},V8-TASK-053,Se funde con toggle-active en el mismo PATCH con {is_superuser}.
GET,/api/v1/applications,get_applications,api,student,current_active_user,List,app.routes.dashboardRoute,exact,/api/v1/applications,app/static/js/jobs.js,rest,GET /api/v1/applications,V4-TASK-049,Coleccion: exige limite de servidor y paginacion (TASK-041).
POST,/api/v1/applications,create_application,api,student,current_active_user,ApplicationRead,app.routes.dashboardRoute,exact,/api/v1/applications,app/static/js/jobs.js,rest,POST /api/v1/applications,V4-TASK-049,Exige Idempotency-Key (5.1 del plan 08 y TASK-041).
GET,/api/v1/applications/eligible-resumes,get_eligible_resumes_for_application,api,student,current_active_user,List,app.routes.dashboardRoute,exact,/api/v1/applications/eligible-resumes,app/static/js/jobs.js,rest,GET /api/v1/resumes?eligible_for=application,V4-TASK-049,No es subrecurso de applications sino la coleccion de CV filtrada; consumida por la pantalla de candidatura.
DELETE,/api/v1/applications/{application_id},delete_application,api,student,current_active_user,,app.routes.dashboardRoute,prefix,/api/v1/applications,app/static/js/jobs.js,rest,DELETE /api/v1/applications/{id},V4-TASK-049,
PATCH,/api/v1/applications/{application_id},update_application,api,student,current_active_user,ApplicationRead,app.routes.dashboardRoute,prefix,/api/v1/applications,app/static/js/jobs.js,rest,PATCH /api/v1/applications/{id},V4-TASK-049,Las transiciones las decide el backend (TASK-014); React solo proyecta.
POST,/api/v1/applications/{application_id}/interview-selection,select_interview_availability,api,student,current_active_user,ApplicationRead,app.routes.dashboardRoute,prefix,/api/v1/applications,app/static/js/jobs.js,rest,PUT /api/v1/applications/{id}/selected-interview,V4-TASK-049,Correspondencia explicita en 5.2 del plan 08; seleccion idempotente serializada por TASK-015.
POST,/api/v1/auth/company/forgot-password,reset:forgot_password,api,public,,,fastapi_users.router.reset,prefix,/api/v1/auth/company,app/static/js/base.js|app/static/js/login.js|app/static/js/register.js,rest,POST /api/v1/auth/company/forgot-password,V5-TASK-050,Generado por fastapi-users; no lo cuenta el recuento de 150 handlers del plan.
POST,/api/v1/auth/company/login,auth:jwt.login,api,public,,,fastapi_users.router.auth,exact,/api/v1/auth/company/login,app/static/js/login.js,rest,POST /api/v1/auth/company/session,V5-TASK-050,6.2 del plan 08 pide login/logout consistentes por actor; TASK-042.
POST,/api/v1/auth/company/logout,auth:jwt.logout,api,recruiter,current_user_token_dependency,,fastapi_users.router.auth,exact,/api/v1/auth/company/logout,app/static/js/base.js,rest,DELETE /api/v1/auth/company/session,V5-TASK-050,Par simetrico del anterior; TASK-042.
POST,/api/v1/auth/company/register,register_company_with_initial_recruiter,api,public,,CompanyRead,app.routes.companyRoute,exact,/api/v1/auth/company/register,app/static/js/register.js,rest,POST /api/v1/companies,V5-TASK-050,Registrar una compania crea el recurso compania; el actor recruiter sale de ahi.
POST,/api/v1/auth/company/request-verify-token,verify:request-token,api,public,,,fastapi_users.router.verify,prefix,/api/v1/auth/company,app/static/js/base.js|app/static/js/login.js|app/static/js/register.js,rest,POST /api/v1/auth/company/verification-requests,V5-TASK-050,Generado por fastapi-users.
POST,/api/v1/auth/company/reset-password,reset:reset_password,api,public,,,fastapi_users.router.reset,prefix,/api/v1/auth/company,app/static/js/base.js|app/static/js/login.js|app/static/js/register.js,rest,POST /api/v1/auth/company/password-resets,V5-TASK-050,Generado por fastapi-users.
POST,/api/v1/auth/company/verify,verify:verify,api,public,,CompanyRecruiterRead,fastapi_users.router.verify,prefix,/api/v1/auth/company,app/static/js/base.js|app/static/js/login.js|app/static/js/register.js,rest,POST /api/v1/auth/company/verifications,V5-TASK-050,Generado por fastapi-users.
POST,/api/v1/auth/forgot-password,reset:forgot_password,api,public,,,fastapi_users.router.reset,prefix,/api/v1/auth,app/static/js/base.js|app/static/js/login.js|app/static/js/register.js|app/templates/login.html,rest,POST /api/v1/auth/forgot-password,V1-TASK-046,Generado por fastapi-users.
GET,/api/v1/auth/register,register,view,public,,,app.views.views,exact,/api/v1/auth/register,app/static/js/register.js|app/templates/login.html,retire,SPA /register,V1-TASK-046,DEFECTO: es una vista Jinja montada bajo /api/v1 y comparte path con el POST de la API. Retirarla elimina la colision.
POST,/api/v1/auth/register,register:register,api,public,,UserRead,fastapi_users.router.register,exact,/api/v1/auth/register,app/static/js/register.js|app/templates/login.html,rest,POST /api/v1/users,V1-TASK-046,Registrar crea el recurso usuario; generado por fastapi-users.
POST,/api/v1/auth/request-verify-token,verify:request-token,api,public,,,fastapi_users.router.verify,prefix,/api/v1/auth,app/static/js/base.js|app/static/js/login.js|app/static/js/register.js|app/templates/login.html,rest,POST /api/v1/auth/verification-requests,V1-TASK-046,Generado por fastapi-users.
POST,/api/v1/auth/reset-password,reset:reset_password,api,public,,,fastapi_users.router.reset,prefix,/api/v1/auth,app/static/js/base.js|app/static/js/login.js|app/static/js/register.js|app/templates/login.html,rest,POST /api/v1/auth/password-resets,V1-TASK-046,Generado por fastapi-users.
POST,/api/v1/auth/verify,verify:verify,api,public,,UserRead,fastapi_users.router.verify,prefix,/api/v1/auth,app/static/js/base.js|app/static/js/login.js|app/static/js/register.js|app/templates/login.html,rest,POST /api/v1/auth/verifications,V1-TASK-046,Generado por fastapi-users.
GET,/api/v1/capstone/analytics/roles,get_capstone_analytics_roles,api,student,current_active_user,CapstoneAnalyticsRolesRead,app.routes.capstoneAnalyticsRoute,exact,/api/v1/capstone/analytics/roles,app/static/js/career_lab.js,rest,GET /api/v1/capstone/roles,V7-TASK-052,
POST,/api/v1/capstone/analytics/seed,seed_capstone_analytics_catalog,api,student,current_active_user,CapstoneAnalyticsSeedSummaryRead,app.routes.capstoneAnalyticsRoute,prefix,/api/v1/capstone/analytics,app/static/js/career_lab.js,internal,POST /api/v1/internal/capstone/seed,V7-TASK-052,Operacion de datos semilla; no la consume ninguna pantalla. Debe quedar tras auth interna y fuera del contrato publico.
GET,/api/v1/capstone/analytics/status,get_capstone_analytics_status,api,student,current_active_user,CapstoneAnalyticsStatusRead,app.routes.capstoneAnalyticsRoute,exact,/api/v1/capstone/analytics/status,app/static/js/career_lab.js,rest,GET /api/v1/capstone/status,V7-TASK-052,
GET,/api/v1/capstone/catalog/quality,get_capstone_catalog_quality,api,student,current_active_user,CapstoneCatalogQualityRead,app.routes.capstoneAnalyticsRoute,exact,/api/v1/capstone/catalog/quality,app/static/js/career_lab.js,rest,GET /api/v1/capstone/catalog-quality,V7-TASK-052,
GET,/api/v1/capstone/gap-analysis,get_capstone_gap_analysis,api,student,current_active_user,CapstoneGapAnalysisRead,app.routes.capstoneAnalyticsRoute,exact,/api/v1/capstone/gap-analysis,app/static/js/career_lab.js,rest,GET /api/v1/capstone/gap-analysis,V7-TASK-052,
POST,/api/v1/capstone/job-postings/skills/sync-open,sync_open_job_posting_skills,api,student,current_active_user,CapstoneJobSkillBatchExtractionRead,app.routes.capstoneAnalyticsRoute,prefix,/api/v1/capstone,app/static/js/career_lab.js,internal,POST /api/v1/internal/capstone/skill-syncs,V7-TASK-052,Barrido masivo sobre ofertas abiertas; 5.2 exige que devuelva un run con identidad y estado. Lo hace batch TASK-019.
POST,/api/v1/capstone/job-postings/{job_posting_id}/skills/sync,sync_job_posting_skills,api,student,current_active_user,CapstoneJobSkillExtractionRead,app.routes.capstoneAnalyticsRoute,prefix,/api/v1/capstone,app/static/js/career_lab.js,rest,POST /api/v1/capstone/job-postings/{id}/skill-syncs,V7-TASK-052,Crea una ejecucion auditable; devuelve run con identidad y estado.
POST,/api/v1/capstone/learning-route/evaluate-baselines,evaluate_capstone_learning_route_baselines,api,student,current_active_user,CapstoneLearningRouteBaselineEvaluationRead,app.routes.capstoneAnalyticsRoute,exact,/api/v1/capstone/learning-route/evaluate-baselines,app/static/js/career_lab.js,rest,POST /api/v1/capstone/learning-route/baseline-runs,V7-TASK-052,Crea una ejecucion auditable.
POST,/api/v1/capstone/learning-route/optimize,optimize_capstone_learning_route,api,student,current_active_user,CapstoneLearningRouteOptimizationRead,app.routes.capstoneAnalyticsRoute,exact,/api/v1/capstone/learning-route/optimize,app/static/js/career_lab.js,rest,POST /api/v1/capstone/learning-route/runs,V7-TASK-052,Crea el run que ya lista GET runs; CP-SAT fuera del loop por TASK-022.
GET,/api/v1/capstone/learning-route/runs,list_capstone_learning_route_runs,api,student,current_active_user,CapstoneLearningRouteRunsRead,app.routes.capstoneAnalyticsRoute,exact,/api/v1/capstone/learning-route/runs,app/static/js/career_lab.js,rest,GET /api/v1/capstone/learning-route/runs,V7-TASK-052,Coleccion: exige limite de servidor y paginacion (TASK-041).
GET,/api/v1/capstone/resumes/{resume_id}/skills,list_resume_skills_for_review,api,student,current_active_user,CapstoneResumeSkillReviewRead,app.routes.capstoneAnalyticsRoute,prefix,/api/v1/capstone/resumes,app/static/js/career_lab.js,rest,GET /api/v1/resumes/{id}/skills,V7-TASK-052,El CV es el mismo recurso que /resumes; capstone no es un espacio de nombres distinto.
POST,/api/v1/capstone/resumes/{resume_id}/skills/extract,extract_resume_skills,api,student,current_active_user,CapstoneSkillExtractionRead,app.routes.capstoneAnalyticsRoute,prefix,/api/v1/capstone/resumes,app/static/js/career_lab.js,rest,POST /api/v1/resumes/{id}/skill-extractions,V7-TASK-052,Crea una ejecucion auditable; consume cuota de IA.
POST,/api/v1/capstone/resumes/{resume_id}/skills/manual,add_manual_resume_skill,api,student,current_active_user,CapstoneResumeSkillReviewRead,app.routes.capstoneAnalyticsRoute,prefix,/api/v1/capstone/resumes,app/static/js/career_lab.js,rest,POST /api/v1/resumes/{id}/skills,V7-TASK-052,Alta manual de una skill: es la creacion normal de la subcoleccion.
POST,/api/v1/capstone/resumes/{resume_id}/skills/sync,sync_resume_skills_from_summary,api,student,current_active_user,CapstoneSkillExtractionRead,app.routes.capstoneAnalyticsRoute,prefix,/api/v1/capstone/resumes,app/static/js/career_lab.js,rest,POST /api/v1/resumes/{id}/skill-syncs,V7-TASK-052,Crea una ejecucion auditable.
DELETE,/api/v1/capstone/resumes/{resume_id}/skills/{resume_skill_id},delete_resume_skill,api,student,current_active_user,CapstoneResumeSkillReviewRead,app.routes.capstoneAnalyticsRoute,prefix,/api/v1/capstone/resumes,app/static/js/career_lab.js,rest,DELETE /api/v1/resumes/{id}/skills/{skill_id},V7-TASK-052,
PATCH,/api/v1/capstone/resumes/{resume_id}/skills/{resume_skill_id},update_resume_skill_review_status,api,student,current_active_user,CapstoneResumeSkillReviewRead,app.routes.capstoneAnalyticsRoute,prefix,/api/v1/capstone/resumes,app/static/js/career_lab.js,rest,PATCH /api/v1/resumes/{id}/skills/{skill_id},V7-TASK-052,
GET,/api/v1/communities,list_communities,api,student,current_active_user,list,app.routes.communityRoute,exact,/api/v1/communities,app/static/js/community.js|app/static/js/community_feed.js,rest,GET /api/v1/communities,V6-TASK-051,Coleccion: exige limite de servidor y paginacion (TASK-041). El contador sale de membresias (TASK-017).
POST,/api/v1/communities,create_community,api,student,current_active_user,CommunityRead,app.routes.communityRoute,exact,/api/v1/communities,app/static/js/community.js|app/static/js/community_feed.js,rest,POST /api/v1/communities,V6-TASK-051,
GET,/api/v1/communities/tags,list_community_tags,api,student,current_active_user,list,app.routes.communityRoute,exact,/api/v1/communities/tags,app/static/js/community.js,rest,GET /api/v1/community-tags,V6-TASK-051,No es subrecurso de una comunidad concreta; hoy compite con /communities/{id}.
GET,/api/v1/communities/{community_id},get_community,api,student,current_active_user,CommunityRead,app.routes.communityRoute,prefix,/api/v1/communities,app/static/js/community.js|app/static/js/community_feed.js,rest,GET /api/v1/communities/{id},V6-TASK-051,
POST,/api/v1/communities/{community_id}/join,join_community,api,student,current_active_user,CommunityMemberRead,app.routes.communityRoute,prefix,/api/v1/communities,app/static/js/community.js|app/static/js/community_feed.js,rest,PUT /api/v1/communities/{id}/members/me,V6-TASK-051,Correspondencia explicita en 5.2 del plan 08; relacion idempotente.
DELETE,/api/v1/communities/{community_id}/leave,leave_community,api,student,current_active_user,,app.routes.communityRoute,prefix,/api/v1/communities,app/static/js/community.js|app/static/js/community_feed.js,rest,DELETE /api/v1/communities/{id}/members/me,V6-TASK-051,Correspondencia explicita en 5.2 del plan 08.
GET,/api/v1/communities/{community_id}/membership,check_membership,api,student,current_active_user,,app.routes.communityRoute,prefix,/api/v1/communities,app/static/js/community.js|app/static/js/community_feed.js,rest,GET /api/v1/communities/{id}/members/me,V6-TASK-051,Mismo recurso que join/leave leido; hoy tiene nombre propio.
GET,/api/v1/communities/{community_id}/posts,list_community_posts,api,student,current_active_user,list,app.routes.communityRoute,prefix,/api/v1/communities,app/static/js/community.js|app/static/js/community_feed.js,rest,GET /api/v1/communities/{id}/posts,V6-TASK-051,Se funde con la variante enriched: una sola coleccion con expansion declarada.
POST,/api/v1/communities/{community_id}/posts,create_community_post,api,student,current_active_user,CommunityPostRead,app.routes.communityRoute,prefix,/api/v1/communities,app/static/js/community.js|app/static/js/community_feed.js,rest,POST /api/v1/communities/{id}/posts,V6-TASK-051,Borrado restringido al propietario por TASK-003.
GET,/api/v1/communities/{community_id}/posts/enriched,list_community_posts_enriched,api,student,current_active_user,list,app.routes.communityRoute,prefix,/api/v1/communities,app/static/js/community.js|app/static/js/community_feed.js,rest,GET /api/v1/communities/{id}/posts?expand=author,V6-TASK-051,DUPLICADO: misma coleccion con otra forma de respuesta. Dos endpoints para un recurso es la fuente de verdad partida que el plan prohibe.
GET,/api/v1/community-posts/{post_id}/comments,list_comments,api,student,current_active_user,list,app.routes.communityRoute,prefix,/api/v1/community-posts,app/static/js/community_feed.js,rest,GET /api/v1/community-posts/{id}/comments,V6-TASK-051,Se funde con la variante enriched.
POST,/api/v1/community-posts/{post_id}/comments,create_comment,api,student,current_active_user,CommunityPostCommentRead,app.routes.communityRoute,prefix,/api/v1/community-posts,app/static/js/community_feed.js,rest,POST /api/v1/community-posts/{id}/comments,V6-TASK-051,
GET,/api/v1/community-posts/{post_id}/comments/enriched,list_comments_enriched,api,student,current_active_user,list,app.routes.communityRoute,prefix,/api/v1/community-posts,app/static/js/community_feed.js,rest,GET /api/v1/community-posts/{id}/comments?expand=author,V6-TASK-051,DUPLICADO: misma coleccion con otra forma de respuesta.
DELETE,/api/v1/community-posts/{post_id}/likes,unlike_post,api,student,current_active_user,,app.routes.communityRoute,prefix,/api/v1/community-posts,app/static/js/community_feed.js,rest,DELETE /api/v1/community-posts/{id}/likes/me,V6-TASK-051,Relacion del actor con el post; idempotente.
POST,/api/v1/community-posts/{post_id}/likes,like_post,api,student,current_active_user,,app.routes.communityRoute,prefix,/api/v1/community-posts,app/static/js/community_feed.js,rest,PUT /api/v1/community-posts/{id}/likes/me,V6-TASK-051,Mismo criterio que join de comunidades en 5.2: relacion idempotente.
GET,/api/v1/companies/me,get_current_company_profile,api,recruiter,current_active_company|current_active_company_recruiter,CompanyRead,app.routes.companyRoute,exact,/api/v1/companies/me,app/static/js/company-candidates.js|app/static/js/company-dashboard.js|app/static/js/company-team.js,rest,GET /api/v1/companies/me,V5-TASK-050,
PATCH,/api/v1/companies/me,update_current_company_profile,api,recruiter,current_active_company|current_active_company_recruiter,CompanyRead,app.routes.companyRoute,exact,/api/v1/companies/me,app/static/js/company-candidates.js|app/static/js/company-dashboard.js|app/static/js/company-team.js,rest,PATCH /api/v1/companies/me,V5-TASK-050,
GET,/api/v1/companies/me/applicants,list_company_applicants,api,recruiter,current_active_company|current_active_company_recruiter,List,app.routes.companyRoute,exact,/api/v1/companies/me/applicants,app/static/js/company-candidates.js|app/static/js/company-dashboard.js,rest,GET /api/v1/companies/me/applications,V5-TASK-050,La entidad es la candidatura; applicants nombra a la persona y no al recurso listado.
PATCH,/api/v1/companies/me/applicants/{application_id},update_company_applicant_pipeline,api,recruiter:job_manager,current_active_company_recruiter|current_company_job_manager_recruiter,CompanyApplicantRead,app.routes.companyRoute,prefix,/api/v1/companies/me/applicants,app/static/js/company-candidates.js|app/static/js/company-dashboard.js,rest,PATCH /api/v1/companies/me/applications/{id},V5-TASK-050,Transiciones centralizadas en el backend (TASK-014).
POST,/api/v1/companies/me/applicants/{application_id}/interview-availabilities,publish_company_applicant_interview_availabilities,api,recruiter:job_manager,current_active_company_recruiter|current_company_job_manager_recruiter,CompanyApplicantRead,app.routes.companyRoute,prefix,/api/v1/companies/me/applicants,app/static/js/company-candidates.js|app/static/js/company-dashboard.js,rest,PUT /api/v1/companies/me/applications/{id}/interview-availabilities,V5-TASK-050,Reemplaza el conjunto completo de disponibilidades; idempotente.
GET,/api/v1/companies/me/applications/{application_id}/resume/download,download_company_applicant_resume,api,recruiter,current_active_company|current_active_company_recruiter,,app.routes.companyRoute,prefix,/api/v1/companies/me,app/static/js/company-candidates.js|app/static/js/company-dashboard.js|app/static/js/company-team.js,rest,GET /api/v1/companies/me/applications/{id}/resume?disposition=attachment,V5-TASK-050,download y preview son el mismo recurso con distinto Content-Disposition.
GET,/api/v1/companies/me/applications/{application_id}/resume/preview,preview_company_applicant_resume,api,recruiter,current_active_company|current_active_company_recruiter,,app.routes.companyRoute,prefix,/api/v1/companies/me,app/static/js/company-candidates.js|app/static/js/company-dashboard.js|app/static/js/company-team.js,rest,GET /api/v1/companies/me/applications/{id}/resume,V5-TASK-050,Autorizacion por entidad visible (TASK-008).
GET,/api/v1/companies/me/job-postings,list_current_company_job_postings,api,recruiter:job_manager,current_active_company|current_active_company_recruiter|current_company_job_manager_recruiter,List,app.routes.jobRoute,exact,/api/v1/companies/me/job-postings,app/static/js/company-candidates.js|app/static/js/company-dashboard.js,rest,GET /api/v1/companies/me/job-postings,V5-TASK-050,Coleccion: exige limite de servidor y paginacion (TASK-041).
POST,/api/v1/companies/me/job-postings,create_current_company_job_posting,api,recruiter:job_manager,current_active_company|current_active_company_recruiter|current_company_job_manager_recruiter,JobPostingRead,app.routes.jobRoute,exact,/api/v1/companies/me/job-postings,app/static/js/company-candidates.js|app/static/js/company-dashboard.js,rest,POST /api/v1/companies/me/job-postings,V5-TASK-050,Exige Idempotency-Key (5.1 del plan 08).
DELETE,/api/v1/companies/me/job-postings/{job_posting_id},delete_current_company_job_posting,api,recruiter:job_manager,current_active_company|current_active_company_recruiter|current_company_job_manager_recruiter,,app.routes.jobRoute,prefix,/api/v1/companies/me/job-postings,app/static/js/company-candidates.js|app/static/js/company-dashboard.js,rest,DELETE /api/v1/companies/me/job-postings/{id},V5-TASK-050,
PATCH,/api/v1/companies/me/job-postings/{job_posting_id},update_current_company_job_posting,api,recruiter:job_manager,current_active_company|current_active_company_recruiter|current_company_job_manager_recruiter,JobPostingRead,app.routes.jobRoute,prefix,/api/v1/companies/me/job-postings,app/static/js/company-candidates.js|app/static/js/company-dashboard.js,rest,PATCH /api/v1/companies/me/job-postings/{id},V5-TASK-050,
GET,/api/v1/companies/me/recruiters,list_company_recruiters,api,recruiter:owner,current_active_company_recruiter|current_company_owner_recruiter,List,app.routes.companyRoute,exact,/api/v1/companies/me/recruiters,app/static/js/company-team.js,rest,GET /api/v1/companies/me/recruiters,V5-TASK-050,
POST,/api/v1/companies/me/recruiters,create_company_recruiter,api,recruiter:owner,current_active_company_recruiter|current_company_owner_recruiter,CompanyRecruiterManagementRead,app.routes.companyRoute,exact,/api/v1/companies/me/recruiters,app/static/js/company-team.js,rest,POST /api/v1/companies/me/recruiters,V5-TASK-050,
GET,/api/v1/companies/me/recruiters/current,get_current_company_recruiter_profile,api,recruiter,current_active_company_recruiter,CompanyRecruiterManagementRead,app.routes.companyRoute,prefix,/api/v1/companies/me/recruiters,app/static/js/company-team.js,rest,GET /api/v1/companies/me/recruiters/me,V5-TASK-050,current y me nombran lo mismo; /me es la convencion ya usada en el resto de la API.
